"country","sum"
"Brazil","220"
"FRG","131"
"Argentina","131"
"Italy","128"
"France","106"
"Germany","93"
"Spain","91"
"Netherlands","87"
"Uruguay","80"
"England","80"
"Hungary","78"
"Sweden","74"
"Yugoslavia","60"
"Mexico","57"
"Belgium","52"
"Soviet Union","51"
"Switzerland","45"
"Czechoslovakia","44"
"Poland","44"
"Portugal","43"
"Austria","43"
"Chile","40"
"USA","37"
"South Korea","31"
"Paraguay","30"
"Romania","30"
"Denmark","27"
"Colombia","26"
"Scotland","25"
"Bulgaria","22"
"Croatia","21"
"Turkey","20"
"Nigeria","20"
"Peru","19"
"Cameroon","18"
"Costa Rica","17"
"Japan","14"
"Algeria","13"
"Northern Ireland","13"
"Ghana","13"
"Ivory Coast","13"
"Russia","13"
"Morocco","12"
"Australia","11"
"South Africa","11"
"Ireland","10"
"Ecuador","10"
"Saudi Arabia","9"
"Tunisia","8"
"Iran","7"
"Senegal","7"
"Norway","7"
"North Korea","6"
"Greece","5"
"Slovenia","5"
"Slovakia","5"
"GDR","5"
"Ukraine","5"
"Cuba","5"
"Bosnia-Herzegovina","4"
"New Zealand","4"
"Wales","4"
"Egypt","3"
"Honduras","3"
"Czech Republic","3"
"Jamaica","3"
"Kuwait","2"
"Haiti","2"
"Serbia","2"
"United Arab Emirates","2"
"Serbia-Montenegro","2"
"El Salvador","1"
"Iraq","1"
"Israel","1"
"Angola","1"
"Bolivia","1"
"Togo","1"
"Zaire","0"
"China","0"
"Canada","0"
"Trinidad and Tobago","0"
"Dutch East Indies","0"
