"country","year","goals"
"Argentina",1930,18
"Argentina",1934,2
"Argentina",1958,5
"Argentina",1962,2
"Argentina",1966,4
"Argentina",1974,9
"Argentina",1978,15
"Argentina",1982,8
"Argentina",1986,14
"Argentina",1990,5
"Argentina",1994,8
"Argentina",1998,10
"Argentina",2002,2
"Argentina",2006,11
"Argentina",2010,10
"Argentina",2014,8
"Brazil",1930,5
"Brazil",1934,1
"Brazil",1938,14
"Brazil",1950,22
"Brazil",1954,8
"Brazil",1958,16
"Brazil",1962,14
"Brazil",1966,4
"Brazil",1970,19
"Brazil",1974,6
"Brazil",1978,10
"Brazil",1982,15
"Brazil",1986,10
"Brazil",1990,4
"Brazil",1994,11
"Brazil",1998,14
"Brazil",2002,17
"Brazil",2006,10
"Brazil",2010,9
"Brazil",2014,11
"England",1950,2
"England",1954,8
"England",1958,4
"England",1962,5
"England",1966,11
"England",1970,4
"England",1982,6
"England",1986,7
"England",1990,8
"England",1998,7
"England",2002,7
"England",2006,6
"England",2010,3
"England",2014,2
"France",1930,4
"France",1934,2
"France",1938,4
"France",1954,3
"France",1958,23
"France",1966,2
"France",1978,5
"France",1982,16
"France",1986,12
"France",1998,15
"France",2002,0
"France",2006,9
"France",2010,1
"France",2014,10
"FRG",1954,25
"FRG",1958,12
"FRG",1962,4
"FRG",1966,15
"FRG",1970,17
"FRG",1974,13
"FRG",1978,10
"FRG",1982,12
"FRG",1986,8
"FRG",1990,15
"Germany",1934,11
"Germany",1938,3
"Germany",1994,9
"Germany",1998,8
"Germany",2002,14
"Germany",2006,14
"Germany",2010,16
"Germany",2014,18
"Italy",1934,12
"Italy",1938,11
"Italy",1950,4
"Italy",1954,6
"Italy",1962,3
"Italy",1966,2
"Italy",1970,10
"Italy",1974,5
"Italy",1978,9
"Italy",1982,12
"Italy",1986,5
"Italy",1990,10
"Italy",1994,8
"Italy",1998,8
"Italy",2002,5
"Italy",2006,12
"Italy",2010,4
"Italy",2014,2
"Netherlands",1934,2
"Netherlands",1938,0
"Netherlands",1974,15
"Netherlands",1978,15
"Netherlands",1990,3
"Netherlands",1994,8
"Netherlands",1998,13
"Netherlands",2006,3
"Netherlands",2010,13
"Netherlands",2014,15
"Spain",1934,4
"Spain",1950,10
"Spain",1962,2
"Spain",1966,4
"Spain",1978,2
"Spain",1982,4
"Spain",1986,11
"Spain",1990,6
"Spain",1994,10
"Spain",1998,8
"Spain",2002,10
"Spain",2006,9
"Spain",2010,7
"Spain",2014,4
"Uruguay",1930,15
"Uruguay",1950,15
"Uruguay",1954,16
"Uruguay",1962,4
"Uruguay",1966,2
"Uruguay",1970,4
"Uruguay",1974,1
"Uruguay",1986,2
"Uruguay",1990,2
"Uruguay",2002,4
"Uruguay",2010,11
"Uruguay",2014,4
