game_id,attendance,team,tie,stage,round,year,date,time,home,lat,long,goals,team_num
1,25000,Italy,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:00 h),16:00,Italy,41.926953,12.472197,7,1
1,25000,USA,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:00 h),16:00,Italy,41.926953,12.472197,1,2
2,16000,Austria,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,45.066251,7.691228,3,1
2,16000,France,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,45.066251,7.691228,2,2
3,8000,Germany,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,44.275234,11.722625,5,1
3,8000,Belgium,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,44.275234,11.722625,2,2
4,9000,Czechoslovakia,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,45.62243,13.792906,2,1
4,9000,Romania,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,45.62243,13.792906,1,2
5,33000,Switzerland,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,45.478124,9.123962,3,1
5,33000,Netherlands,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,45.478124,9.123962,2,2
6,14000,Sweden,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,44.494887,11.3426163,3,1
6,14000,Argentina,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,44.494887,11.3426163,2,2
7,21000,Spain,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,44.416409,8.952495,3,1
7,21000,Brazil,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,44.416409,8.952495,1,2
8,9000,Hungary,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,40.631067,14.408606,4,1
8,9000,Egypt,FALSE,FIRST ROUND,FALSE,1934,27-05-1934 (16:30 h),16:30,Italy,40.631067,14.408606,2,2
9,23000,Austria,FALSE,1/4 FINAL,FALSE,1934,31-05-1934 (16:30 h),16:30,Italy,44.494887,11.3426163,2,1
9,23000,Hungary,FALSE,1/4 FINAL,FALSE,1934,31-05-1934 (16:30 h),16:30,Italy,44.494887,11.3426163,1,2
10,12000,Czechoslovakia,FALSE,1/4 FINAL,FALSE,1934,31-05-1934 (16:30 h),16:30,Italy,45.066251,7.691228,3,1
10,12000,Switzerland,FALSE,1/4 FINAL,FALSE,1934,31-05-1934 (16:30 h),16:30,Italy,45.066251,7.691228,2,2
11,15000,Germany,FALSE,1/4 FINAL,FALSE,1934,31-05-1934 (16:30 h),16:30,Italy,45.478124,9.123962,2,1
11,15000,Sweden,FALSE,1/4 FINAL,FALSE,1934,31-05-1934 (16:30 h),16:30,Italy,45.478124,9.123962,1,2
12,35000,Italy,FALSE,1/4 FINAL,FALSE,1934,31-05-1934 (16:30 h),16:30,Italy,44.275234,11.722625,1,1
12,35000,Spain,FALSE,1/4 FINAL,FALSE,1934,31-05-1934 (16:30 h),16:30,Italy,44.275234,11.722625,1,2
13,43000,Italy,FALSE,1/4 FINAL,FALSE,1934,1-06-1934 (16:45 h),16:45,Italy,44.275234,11.722625,1,1
13,43000,Spain,FALSE,1/4 FINAL,FALSE,1934,1-06-1934 (16:45 h),16:45,Italy,44.275234,11.722625,0,2
14,60000,Italy,FALSE,1/2 FINAL,FALSE,1934,3-06-1934 (16:30 h),16:30,Italy,45.478124,9.123962,1,1
14,60000,Austria,FALSE,1/2 FINAL,FALSE,1934,3-06-1934 (16:30 h),16:30,Italy,45.478124,9.123962,0,2
15,15000,Czechoslovakia,FALSE,1/2 FINAL,FALSE,1934,3-06-1934 (16:30 h),16:30,Italy,41.926953,12.472197,3,1
15,15000,Germany,FALSE,1/2 FINAL,FALSE,1934,3-06-1934 (16:30 h),16:30,Italy,41.926953,12.472197,1,2
16,7000,Germany,FALSE,PLACES 3-4,FALSE,1934,7-06-1934 (17:30 h),17:30,Italy,40.631067,14.408606,3,1
16,7000,Austria,FALSE,PLACES 3-4,FALSE,1934,7-06-1934 (17:30 h),17:30,Italy,40.631067,14.408606,2,2
17,50000,Italy,FALSE,FINAL ROUND,FALSE,1934,10-06-1934 (17:00 h),17:00,Italy,41.926953,12.472197,2,1
17,50000,Czechoslovakia,FALSE,FINAL ROUND,FALSE,1934,10-06-1934 (17:00 h),17:00,Italy,41.926953,12.472197,1,2
18,34107,Sweden,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (14:00 h),14:00,Sweden,59.366667,17.9833329,3,1
18,34107,Mexico,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (14:00 h),14:00,Sweden,59.366667,17.9833329,0,2
19,31156,FRG,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,55.586067,12.989247,3,1
19,31156,Argentina,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,55.586067,12.989247,1,2
20,10647,Northern Ireland,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,56.684182,12.867464,1,1
20,10647,Czechoslovakia,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,56.684182,12.867464,0,2
21,16518,France,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,58.58441,16.171553,7,1
21,16518,Paraguay,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,58.58441,16.171553,3,2
22,9591,Yugoslavia,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,59.6200341,16.5378944,1,1
22,9591,Scotland,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,59.6200341,16.5378944,1,2
23,15343,Hungary,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,60.60904,16.770892,1,1
23,15343,Wales,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,60.60904,16.770892,1,2
24,49348,England,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,2,1
24,49348,Soviet Union,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,2,2
25,17778,Brazil,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,58.356336,11.949346,3,1
25,17778,Austria,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,58.356336,11.949346,0,2
26,31156,FRG,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,56.049839,12.70039,2,1
26,31156,Czechoslovakia,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,56.049839,12.70039,2,2
27,14174,Argentina,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,56.684182,12.867464,3,1
